ID Xcoord Ycoord
1 478859.21 4212608.68
2 479657.55 4207536.91
3 480874.09 4206640.63
4 475016.32 4202482.00
5 493644.21 4187569.02
6 487461.35 4221295.30
7 479310.80 4187845.64
8 459753.53 4209679.46
9 488726.75 4194575.78
10 504706.37 4173607.39
11 486943.30 4200405.77
12 500877.89 4208370.95
13 478867.10 4219924.15
14 495084.67 4174261.79
15 443915.35 4202805.55
16 451303.01 4171647.57
17 453010.05 4133947.33
18 452130.44 4150543.83
19 525709.51 4556930.10
20 512331.53 4554867.47
21 488688.90 4576665.27
22 504006.51 4545092.62
23 523794.91 4539830.84
24 534154.36 4531301.67
25 552714.10 4529296.97
26 685484.00 4604777.49
27 658280.84 4522832.14
28 658086.40 4522752.95
29 574285.82 4554062.37
30 558978.31 4560734.72
31 642657.08 4542729.32
32 599507.47 4553131.50
33 642244.65 4548899.65
34 721234.89 4331223.88
35 761610.52 4182775.54
36 756926.44 4175921.87
37 683863.44 4237047.36
38 686373.40 4242459.25
39 304062.73 4238390.08
40 301791.03 4235656.24
41 332073.21 4235445.26
42 306607.25 4192141.61
43 266188.26 4186095.81
44 263561.03 4169761.86
45 266704.88 4186244.43
46 249368.06 4201809.77
47 274162.38 4277674.50
48 284185.60 4276573.27
49 262061.35 4254457.76
50 234147.33 4284212.18
51 275587.59 4249520.22
52 266590.18 4486766.09
53 267897.10 4488926.80
54 277598.94 4476811.54
55 263351.95 4500423.05
56 277522.59 4486826.32
57 246490.69 4456410.02
58 250199.11 4477931.03
59 329506.98 4449930.33
60 303283.85 4487000.22
61 277805.12 4465495.04
62 336068.05 4457544.20
63 293911.24 4485004.68
64 227514.11 4398276.86
65 229915.98 4394944.47
66 245973.35 4335459.72
67 320804.13 4358749.72
68 324986.87 4325549.07
69 335494.05 4355538.68
70 353552.80 4400311.08
71 434793.23 4336466.28
72 409263.09 4322846.17
73 429333.33 4358968.28
74 457085.32 4336198.86
75 397817.25 4348149.35
76 395936.12 4341482.64
77 408916.08 4356850.90
78 406252.96 4380490.75
79 412625.83 4361594.59
80 295396.46 4370129.30
81 334088.91 4383948.42
82 326556.78 4385733.60
83 301413.91 4370511.97
84 223401.43 4178555.12
85 222005.56 4189214.02
86 215636.74 4192793.65
87 225453.99 4182419.84
88 149052.02 4394046.13
89 131276.37 4399898.08
90 202516.88 4244576.14
91 192214.05 4231255.08
92 375858.95 4499979.16
93 367377.83 4498328.75
94 347792.63 4467864.20
95 408502.59 4509186.74
96 392734.09 4497900.91
97 410959.74 4499445.51
98 409392.33 4502786.80
99 411205.83 4501986.24
100 434845.61 4525864.25
101 403084.21 4479577.92
102 410822.47 4500715.79
103 407712.11 4500994.02
104 411113.17 4492685.69
105 408819.26 4500603.63
106 399209.72 4502371.41
107 409006.94 4475552.71
108 412294.54 4498769.70
109 420282.62 4462730.73
110 489777.19 4471926.01
111 453355.74 4483216.86
112 387318.03 4540389.36
113 405483.10 4538465.38
114 376912.84 4537962.60
115 377998.10 4528055.75
116 365855.27 4516708.07
117 336774.75 4537558.32
118 346080.69 4519983.35
119 356408.82 4505048.44
120 375528.64 4512801.47
121 357717.74 4448886.53
122 373013.70 4458776.50
123 380788.55 4458116.97
124 378960.82 4463573.19
125 448760.03 4564786.89
126 462037.27 4548692.21
127 457774.07 4528385.73
128 592279.71 3906058.78
129 602561.07 3911425.43
130 604160.25 3911283.93
131 631695.88 3878319.31
132 616930.92 3909991.01
133 703994.29 3894329.93
134 474880.36 4203240.98
135 469878.89 4204435.57
136 484240.84 4206915.08
137 474626.18 4195694.20
138 482813.44 4211772.86
139 485726.06 4210700.25
140 478416.02 4206863.26
141 479833.94 4203123.92
142 476624.18 4200084.92
143 473348.30 4210115.85
144 691609.33 3897791.93
145 646064.21 3902297.59
146 542552.05 3913780.73
147 542776.30 3913478.93
148 535699.65 3896786.99
149 501962.66 3930215.96
150 513063.11 3931984.01
151 523563.43 3912983.58
152 873412.20 4024088.70
153 792981.05 4088113.21
154 877346.40 4029571.44
155 765111.18 4093711.48
156 856699.54 3994936.30
157 865700.63 4032031.07
158 725301.01 4133534.66
159 218021.17 4316714.41
160 583159.94 4181133.89
161 623133.04 4035772.97
162 577653.66 4139078.61
163 621612.01 4107387.79
164 618848.74 4143952.63
165 617522.19 4146836.55
166 569009.67 4189922.02
167 361927.90 4091044.23
168 384751.06 4094469.03
169 410465.90 4085669.74
170 397585.65 4065286.51
171 356225.38 4152447.75
172 326744.45 4162478.83
173 352679.41 4201391.09
174 390137.65 4207878.26
175 285503.21 4114754.20
176 322711.87 4102106.60
177 295403.72 4076792.68
178 293110.16 4125033.46
179 320764.30 4114784.74
180 309862.23 4128626.96
181 332155.01 4100975.11
182 332025.19 4098909.71
183 317700.37 4074000.27
184 294634.66 4087476.30
185 418420.19 4161069.63
186 372198.88 4173831.84
187 313230.95 4296033.74
188 296680.78 4334556.85
189 303870.50 4299644.19
190 401443.00 4254231.63
191 358803.80 4248724.92
192 337358.43 4308062.25
193 412394.08 4278643.70
194 351059.79 4344465.22
195 380077.66 4307772.70
196 355406.94 4288944.72
197 352814.05 4308523.45
